dimension,birth,death
1,60.32602481482634,inf
1,74.11213897471173,inf
1,73.47074479529641,inf
1,70.98057911213823,inf
1,69.66369479752265,inf
1,69.4152192138919,inf
1,69.2257277123564,inf
1,67.52609448482421,inf
1,65.91580404035984,inf
1,99.94622788003541,inf
1,59.15333436037203,inf
1,58.11095929114836,inf
1,57.344822209542976,inf
1,56.66452617959865,inf
1,56.60049229921314,inf
1,54.325816417742374,inf
1,51.25786240299843,inf
1,76.62059591134894,inf
1,99.75687698843836,inf
1,98.52376170469086,inf
1,95.33849060150328,inf
1,94.90440223751696,inf
1,94.3390713711829,inf
1,94.21283365087429,inf
1,92.80490235356959,inf
1,90.31910652775285,inf
1,86.90747659295424,inf
1,85.99617770878433,inf
1,83.6085707214888,inf
1,79.99961262125024,inf
1,76.79832470026048,inf
1,75.0616516836032,inf
1,91.01176365281412,inf
1,40.68242609300727,74.86032901642459
1,59.25510869265688,91.96855341393224
1,61.69195516094111,93.71468479270452
1,40.129548346304915,71.8855596158031
1,52.16031451719701,82.75372610342187
1,48.86630467371228,79.38582160944668
1,56.492246222475984,86.84210980905472
1,40.863943417000606,70.55842074000928
1,63.63554518171933,93.10696081372627
1,59.03178143166457,88.36632705531048
1,52.477670434296634,81.22138568286708
1,66.96452551506285,95.34265216482912
1,40.45404504684255,68.31659511682096
1,72.14147022201973,99.71342690771112
1,53.34757999075955,80.85226301640063
1,69.91677417931025,96.58913692949187
1,48.769863144562756,74.92768573587166
1,65.14473647243184,90.89636049273196
1,30.5672372504039,56.15348243233063
1,47.04924037806835,71.06987857447221
1,41.059692179283125,64.87860153799691
1,46.28730198866467,70.00212177759441
1,64.5370423954235,88.17918813416237
1,49.079525824898546,72.547582386507
1,47.83228978630205,71.24744043324452
1,71.61484535376113,94.9689629149937
1,37.26661618147436,60.30849205037466
1,44.82137399005867,67.83801502368951
1,36.38291808682682,59.32135643552737
1,28.52181832841707,51.34105164555907
1,55.60109771853579,78.12065636786161
1,40.91541694119047,63.09677627510891
1,67.56191665999903,89.73131220809475
1,63.88139184333885,85.94045235493807
1,41.012591736298724,62.881057839121176
1,32.55552121828296,54.36379337678745
1,56.96224913277297,78.7424482923255
1,75.99322345790343,97.17062631587957
1,67.59986115757647,88.72036761419818
1,55.24179180135142,75.84259787215669
1,68.51106132214505,88.97712514710226
1,70.30859754376563,90.77430381911603
1,70.00975405872427,90.20616386615242
1,56.79784892967097,76.9195264540018
1,55.23010622439675,75.27351394548543
1,32.694637198117256,52.589376228659376
1,65.41655958552128,85.09182508211909
1,39.92682795523896,59.28500857322539
1,29.161351883210695,48.48176633641333
1,57.3657121391279,76.47320737570003
1,57.63853898585699,76.66863639140915
1,46.06955970200774,64.9526929375712
1,74.97337134356795,93.78962017222658
1,40.48973684267209,59.24123973098999
1,52.040113035733,70.72585819194848
1,59.79811768786548,78.37571404473474
1,72.25724435634596,90.8291058559514
1,29.674181410562547,47.679980872688866
1,54.26234931904625,71.98386151514578
1,36.15625699303968,53.85028481588426
1,73.14733757159613,90.79594796920995
1,51.83945407761793,69.4245841605767
