dimension,birth,death
1,38.10364017818816,inf
1,39.07315717959346,inf
1,38.96917527296682,inf
1,38.85424476872851,inf
1,38.777305716117816,inf
1,38.716065676183064,inf
1,38.5820791773508,inf
1,38.447066925356495,inf
1,38.24809147593186,inf
1,38.24098699095927,inf
1,39.133747604920245,inf
1,38.061585830967985,inf
1,38.03081202262672,inf
1,38.01309368494517,inf
1,37.98131449154523,inf
1,37.84768836557633,inf
1,37.67310170137109,inf
1,37.62189897742425,inf
1,37.50999851417372,inf
1,40.53852808727087,inf
1,41.537257271035536,inf
1,41.305828162842,inf
1,41.078653235983566,inf
1,40.95934655168521,inf
1,40.897021530115794,inf
1,40.85048189715453,inf
1,40.798187128352694,inf
1,40.55596850819848,inf
1,37.34376959669879,inf
1,40.38242064524388,inf
1,40.3712088823618,inf
1,40.2694371880021,inf
1,40.13864683665676,inf
1,39.80166409963959,inf
1,39.74252805482326,inf
1,39.3800119897722,inf
1,39.30890586736082,inf
1,32.703915937103865,inf
1,34.23052654031078,inf
1,34.089912117540116,inf
1,33.60948294706391,inf
1,33.530886405423566,inf
1,33.06442140452184,inf
1,33.046730345890396,inf
1,32.95978414695483,inf
1,32.85718488676869,inf
1,35.011218353342805,inf
1,31.83899371575194,inf
1,31.72104191696683,inf
1,31.308981611227782,inf
1,30.329798885535695,inf
1,30.085179537368205,inf
1,29.980275351622108,inf
1,29.225355556754263,inf
1,27.22074277937011,inf
1,36.62257471580795,inf
1,37.33709066645085,inf
1,37.301721708814334,inf
1,37.2693677690199,inf
1,37.19350848475394,inf
1,37.15635030308163,inf
1,37.030221786047875,inf
1,36.70032385522643,inf
1,36.6968792248152,inf
1,49.95768462559284,inf
1,36.19794521276806,inf
1,36.17038132764034,inf
1,35.68417412592147,inf
1,35.528771333933996,inf
1,35.476359368581235,inf
1,35.27705416300059,inf
1,35.13645942209833,inf
1,35.09269987739037,inf
1,46.772382925054835,inf
1,47.832889266025425,inf
1,47.79118079107899,inf
1,47.704023495638324,inf
1,47.61231164208933,inf
1,47.256806912305166,inf
1,47.22961117030762,inf
1,47.17355932564021,inf
1,46.90734845632758,inf
1,47.89151744902653,inf
1,46.729666072688744,inf
1,46.55727505738231,inf
1,46.480178636764755,inf
1,46.43113315338872,inf
1,46.3775771802388,inf
1,46.3609904423673,inf
1,46.35248569910615,inf
1,45.954645582877504,inf
1,49.05351272376617,inf
1,41.70690905548912,inf
1,49.948751281911086,inf
1,49.89715064208665,inf
1,49.88009259333027,inf
1,49.83232559114966,inf
1,49.77943697467127,inf
1,49.505077543522304,inf
1,49.34361946169868,inf
1,45.96622877659739,inf
1,48.63305501428104,inf
1,48.57579509607781,inf
1,48.54278362650823,inf
1,48.51456391396661,inf
1,48.20145557462352,inf
1,48.16658571390382,inf
1,48.14487532782038,inf
1,47.99559932319195,inf
1,43.00820324849816,inf
1,45.86240277652195,inf
1,43.4191519787299,inf
1,43.310235571544055,inf
1,43.30400178163011,inf
1,43.22376667654223,inf
1,43.21839547891045,inf
1,43.19842836212133,inf
1,43.105850044419164,inf
1,43.448409613445214,inf
