dimension,birth,death
1,43.0437117371166,inf
1,43.56789126322614,inf
1,43.564739370704565,inf
1,43.54463446705131,inf
1,43.54196869602955,inf
1,43.519287120774976,inf
1,43.466132145996774,inf
1,43.452741842085175,inf
1,43.41378102939428,inf
1,43.409030407322284,inf
1,43.4028879390818,inf
1,43.16245430379241,inf
1,43.12719663966537,inf
1,43.05555486914239,inf
1,43.61875675823617,inf
1,42.95987160038986,inf
1,42.70021911435983,inf
1,42.60169388861969,inf
1,42.598912469272264,inf
1,42.50609100871824,inf
1,42.483818238570436,inf
1,41.99908205929916,inf
1,41.94911039356979,inf
1,41.9345213739572,inf
1,41.92146352936413,inf
1,41.73148792118369,inf
1,41.72843507185025,inf
1,41.69339081993643,inf
1,44.35834163369352,inf
1,45.00454512771489,inf
1,44.9117593973085,inf
1,44.86683177424418,inf
1,44.85524626407478,inf
1,44.82117754829417,inf
1,44.70415028309852,inf
1,44.65249491241729,inf
1,44.573185925956864,inf
1,44.5092432145465,inf
1,44.42790382619672,inf
1,44.41642728589122,inf
1,44.403972044977046,inf
1,44.375948310533055,inf
1,41.690318095702594,inf
1,44.31972142605892,inf
1,44.301894798084994,inf
1,44.28115617346112,inf
1,44.24775305758589,inf
1,44.07297010581131,inf
1,43.880404161520815,inf
1,43.84352466133992,inf
1,43.77148221049926,inf
1,43.76117109348508,inf
1,43.74528699580645,inf
1,43.66023593506164,inf
1,43.637418835118694,inf
1,36.04557595788752,inf
1,38.710353592591915,inf
1,38.62839422879549,inf
1,38.19950390912244,inf
1,38.12729252470119,inf
1,38.08291572914547,inf
1,37.4697967789931,inf
1,37.26065853706445,inf
1,37.21471771032952,inf
1,36.92529324382936,inf
1,36.8682508532423,inf
1,36.77909086664815,inf
1,36.55999921497294,inf
1,36.196103158272486,inf
1,38.80045258437408,inf
1,35.69481546536468,inf
1,35.62948015405174,inf
1,34.8174750747032,inf
1,34.55662818045078,inf
1,34.535869681567824,inf
1,34.44422264521162,inf
1,34.325159511987174,inf
1,34.14292239166566,inf
1,34.12524441844996,inf
1,32.01871837556199,inf
1,30.99450290106953,inf
1,30.214731675649077,inf
1,40.06195254902267,inf
1,41.61920501780633,inf
1,41.390103646508514,inf
1,41.38507252682607,inf
1,41.16055172708684,inf
1,41.03393064474009,inf
1,41.00600523952419,inf
1,40.93676248065915,inf
1,40.91586712539998,inf
1,40.86579294194138,inf
1,40.74755026836553,inf
1,40.74691988653957,inf
1,40.597118471630615,inf
1,40.25265948930024,inf
1,49.99638938931493,inf
1,39.975436529907924,inf
1,39.96071766696818,inf
1,39.85819100734355,inf
1,39.850332883924686,inf
1,39.848449592210144,inf
1,39.84350957686605,inf
1,39.725724267936705,inf
1,39.65811087702228,inf
1,39.60514397217859,inf
1,39.26535411763114,inf
1,39.15968276048558,inf
1,38.937181086016665,inf
1,48.191958161252046,inf
1,48.59516553093163,inf
1,48.53668103814204,inf
1,48.49798023346387,inf
1,48.457840872205786,inf
1,48.44447821129745,inf
1,48.42763258776249,inf
1,48.40214351823793,inf
1,48.38860358687453,inf
1,48.37890327473277,inf
1,48.277107983749836,inf
1,48.266047872029496,inf
1,48.244556394532594,inf
1,48.20282201940295,inf
1,48.62166097257926,inf
1,48.12919218045245,inf
1,48.02945078446787,inf
1,48.02008382081946,inf
1,48.01696066810565,inf
1,47.99003338157843,inf
1,47.97680184974068,inf
1,47.975639397663244,inf
1,47.963764988805444,inf
1,47.89995637272692,inf
1,47.880317581278746,inf
1,47.82222210370089,inf
1,47.76146493028871,inf
1,49.305819534272246,inf
1,49.99535485160889,inf
1,49.907443260681504,inf
1,49.8528436129998,inf
1,49.845442676243906,inf
1,49.81840799482377,inf
1,49.74395398732326,inf
1,49.59457529520245,inf
1,49.58832137943878,inf
1,49.48864035667497,inf
1,49.47574056918617,inf
1,49.45534877487308,inf
1,49.45426991562767,inf
1,49.34733377242841,inf
1,45.10903215591762,inf
1,49.29580055312219,inf
1,49.28595348755842,inf
1,49.27571549172055,inf
1,49.159710182980895,inf
1,49.152958647921366,inf
1,49.11996697313309,inf
1,49.048255783006155,inf
1,49.03325953921713,inf
1,48.907384775701566,inf
1,48.90127798814809,inf
1,48.899338198403996,inf
1,48.70543633454126,inf
1,45.78114677159318,inf
1,46.38840171816113,inf
1,46.38253647907498,inf
1,46.37076960479122,inf
1,46.34012907720931,inf
1,46.19125625401281,inf
1,46.149889763713695,inf
1,46.02357072686257,inf
1,45.98158819186693,inf
1,45.96147291126165,inf
1,45.91992085543992,inf
1,45.87819492871907,inf
1,45.859003622134956,inf
1,45.81002093296564,inf
1,47.68177926044098,inf
1,45.62655140768213,inf
1,45.46347231160772,inf
1,45.44975159240869,inf
1,45.429111644006916,inf
1,45.422682043595515,inf
1,45.39970990258637,inf
1,45.338790174985526,inf
1,45.31319584422608,inf
1,45.18753645390849,inf
1,45.17135531894041,inf
1,45.11054227990743,inf
1,45.00543518570443,inf
1,46.44242220722489,inf
1,46.43793296909038,inf
1,47.72959767165319,inf
1,47.571867152699646,inf
1,47.56426031543842,inf
1,47.56316386009276,inf
1,47.541145949714824,inf
1,47.50175284463836,inf
1,47.45450404596628,inf
1,47.42758038892071,inf
1,47.3835155307279,inf
1,47.35039834325956,inf
1,47.33574187245894,inf
1,47.27864022920884,inf
1,47.14212803873792,inf
1,46.953304707586504,inf
1,46.78747460553462,inf
1,46.73081906865959,inf
1,46.65846781915969,inf
1,46.65083879391022,inf
1,46.62768417387175,inf
1,46.62278877151017,inf
1,46.61236107352738,inf
1,46.51570071774205,inf
1,46.50655726657718,inf
1,47.16331329540759,inf
1,31.277828624936795,49.27087828892235
1,30.62473964626769,47.06622935443614
1,32.24836753100327,48.406811039676676
1,31.948939241982504,48.009477442680655
1,33.18912140933993,48.47925291615687
1,33.225882491284,48.50441296387758
1,29.81909760530316,44.899930402684234
1,31.23580826852362,46.1132773127683
1,32.02244692466044,46.88488174934681
1,32.48177100062608,46.01354000168032
1,35.21447941748077,48.47012720012083
1,33.031219305131245,46.076687455113465
1,33.77110596706156,46.6964727567082
1,33.79553897318522,46.13899344534095
1,33.791773834216606,45.82250754633117
1,33.85508945893289,45.80726245080015
1,37.503861505366615,49.20105829771842
1,34.12248125869107,45.10801844248516
1,38.70573299067826,49.64619102856279
1,28.32607339671406,39.190441181417754
1,38.091649809705125,48.92274635406289
1,36.11464154549491,46.75462672335376
1,30.669121811501192,41.07711090549649
1,35.106686385057856,45.50724392731208
1,39.179824027497126,49.47303400362945
1,39.78669315951886,49.950280551315686
1,37.57646452721783,47.58699911930661
1,34.738920586282276,44.74177619130312
1,37.36734698823565,47.265945484897834
1,37.6950890951437,47.536022894144956
1,32.667338937251806,42.48327603430907
1,32.355002804172734,41.75917237432184
1,32.222660574835324,41.436476126956016
1,37.05701019178982,46.25735000078605
1,38.26526262882772,47.331271436895086
1,37.40029791631236,46.395143834689506
1,40.795565515536424,49.7035278846328
1,37.2322818412904,45.92324248562088
1,36.49659614001713,45.10823579820278
1,39.462546290304196,48.03184610245083
1,36.73175174744855,45.1859211018289
1,39.96470860794823,48.285466918190934
1,37.66296345956486,45.753971748487
1,39.97020696931672,47.870116286952715
1,31.874764541940245,39.537672824000005
1,38.2838475755553,45.85274761383637
1,36.840638173319306,44.406756604995415
1,32.23188566158401,39.791541944321025
1,38.40366871405189,45.78667892087594
1,38.114619272028364,45.459791355152724
1,42.48448645799676,49.78915981555063
1,42.24946294586127,49.52871215729338
1,38.253640191987934,45.5307351957826
1,41.1015548074377,48.269189872605736
1,30.80068214500546,37.866438752353304
1,26.95000114072695,33.99191412913944
1,32.076187801142716,38.906949607673575
1,33.3681677583373,40.07558263467903
1,34.98129859055291,41.61519691470434
1,34.69965867900484,41.316404157607444
1,28.821459983205468,35.38266780753447
1,43.52155031032068,49.92388674908802
1,37.36694415243158,43.61822840512036
1,38.18183219172072,44.337516353337186
1,38.906776981362505,45.05393744386447
1,42.0026913976622,48.11685253319031
1,35.8985827468374,42.00038591382588
1,29.317391529175772,35.358378862176856
1,40.56828728968645,46.57864147676557
1,40.299894608407044,46.217652714644096
1,30.053506195864923,35.826226623219604
1,42.965745998231654,48.692770785219594
1,36.302568454846934,41.964733224421074
1,43.88370993900101,49.414039547123494
1,36.83085266784719,42.354494855853574
