dimension,birth,death
1,35.99869433538685,inf
1,34.726023071111115,inf
1,34.935115474083624,inf
1,35.06213655082342,inf
1,35.075984745657586,inf
1,35.32072496710897,inf
1,35.47081502366014,inf
1,35.52454394729589,inf
1,35.62837896552702,inf
1,35.715393933747805,inf
1,35.7917234147137,inf
1,35.802025396874924,inf
1,34.693305033773285,inf
1,36.14569702487097,inf
1,36.199343903783905,inf
1,36.43818159831763,inf
1,36.73891997023625,inf
1,36.773511079560855,inf
1,36.79815070055153,inf
1,37.29483008138368,inf
1,37.50381724567075,inf
1,37.998704962520314,inf
1,38.25353473903567,inf
1,38.2836382211228,inf
1,32.22645413383201,inf
1,29.069331342141794,inf
1,29.52803734619719,inf
1,29.775660794453113,inf
1,29.81267435258333,inf
1,30.146034131244612,inf
1,30.513160941478777,inf
1,30.812682068732403,inf
1,31.02265849800173,inf
1,31.29843641046076,inf
1,31.7841218484065,inf
1,32.03111596015956,inf
1,49.72227075981354,inf
1,32.266517246388815,inf
1,32.5642800272953,inf
1,32.805585142459186,inf
1,33.567053653321146,inf
1,33.717797392869834,inf
1,33.72998372570501,inf
1,33.92398066967579,inf
1,33.968649807569605,inf
1,34.27633706187749,inf
1,34.60405145102677,inf
1,34.64052711085523,inf
1,47.35830353722425,inf
1,45.39390768984407,inf
1,45.84662386290485,inf
1,45.89952540635186,inf
1,46.07593647309427,inf
1,46.20953799328199,inf
1,46.45601001745312,inf
1,46.59150956298071,inf
1,46.69399285185075,inf
1,47.12319378442378,inf
1,47.20567056894121,inf
1,47.21316590330957,inf
1,38.65570615837508,inf
1,47.62191033372562,inf
1,47.6411722145456,inf
1,48.09789215628737,inf
1,48.22100582298502,inf
1,48.24847045327574,inf
1,48.84821818106453,inf
1,48.91330525667073,inf
1,49.113412113262854,inf
1,49.4673615766075,inf
1,49.48850917201351,inf
1,38.32393600155804,inf
1,44.90117009470407,inf
1,38.95082615541515,inf
1,38.964467208893424,inf
1,39.34238976295852,inf
1,39.638661355506095,inf
1,39.70356436879864,inf
1,39.81458443117232,inf
1,40.59013645686999,inf
1,40.79902695050917,inf
1,40.80874972742914,inf
1,40.93651194039992,inf
1,40.97861676352919,inf
1,41.79723438655228,inf
1,42.06857186337561,inf
1,42.51746452354607,inf
1,43.13086457770278,inf
1,43.286808838332654,inf
1,43.80753507697735,inf
1,44.01545885315988,inf
1,44.27694126125833,inf
1,44.638929665722316,inf
1,45.109688712730076,inf
1,41.03901652905178,inf
1,26.19101434134113,47.83300894701252
1,25.67900764426003,43.583964430776014
1,31.57062214303621,49.46910595035225
1,27.102243002734426,44.694857855186264
1,31.886231667212435,49.35953788978858
1,29.17618306252496,46.514630975811315
1,28.25894837643188,45.30390614032869
1,30.01724699690148,46.88619674032407
1,30.713010493916858,47.31277002046165
1,28.631228424879517,45.1914053387464
1,27.617834048037064,43.859351184945844
1,28.769936855932297,44.556466473374584
1,29.529241080333993,45.27754173470279
1,32.11648926824152,47.105807077823606
1,29.59962409689025,44.56884043148001
1,30.527942936325637,45.33930363691949
1,31.0025653960076,45.517629797991404
1,26.34503519969999,40.783315646262345
1,28.93654990237242,43.37101934536375
1,31.887193293291507,46.1157712074064
1,32.71582645858332,46.786774715383274
1,35.92602984025272,49.88164930324696
1,30.22298223804651,43.95458505639643
1,30.09846236780092,43.738394053374606
1,27.597467348169307,41.20381261201582
1,29.414723017857856,42.99173097388233
1,34.1964774676507,47.75411459989406
1,29.71365349881862,43.24790700612789
1,29.287472720002928,42.650077811308726
1,32.174595848974604,45.38237002721859
1,25.84997856784827,39.034654082899735
1,31.88132496148966,44.84874931273332
1,36.44333210839966,49.39282924072273
1,24.0258897287464,36.780371945966316
1,25.47940714129058,38.134673248197664
1,31.895024664922342,44.342547248154844
1,27.48083592767268,39.922525904863356
1,35.51237762369926,47.86569012726239
1,28.349506771345034,40.690728587972885
1,31.12504292266711,43.40394548965891
1,28.50665435019858,40.7624018536461
1,35.38220428226978,47.53342372538865
1,25.882448206721044,37.96851110385883
1,28.387987944270044,40.402891144780945
1,33.74669250348613,45.71528575912575
1,32.37435697606835,44.255976125196604
1,31.327401747369095,43.08627941041464
1,34.443007975134066,46.09942032246372
1,33.139834323345035,44.67902269988323
1,30.99656180859944,42.53191045620094
1,32.05316234799552,43.49033447229867
1,28.589380576736616,39.95580806101132
1,26.38727624452232,37.51499996443758
1,31.8788408031201,42.8468812458239
1,36.59929282001123,47.49201988156485
1,30.167586114954585,41.04562077063274
1,36.10244272416304,46.89001605579673
1,31.63834768959001,42.391646430620774
1,30.274384917396354,40.94042467962332
1,31.614032567511213,42.24783532476026
1,28.382503665484855,39.003941752164536
1,30.517337619373414,41.039575425617144
1,31.086087749210478,41.57065263097059
1,25.729879338406647,36.00947904274943
1,33.49770855519623,43.73057300859136
1,33.48342867210306,43.63997911598599
1,35.978944416829215,45.98202162414298
1,30.941915278490903,40.89375098187331
1,33.51755258614879,43.40619239927639
1,31.159123688204765,40.91868191761545
1,36.419203045095884,46.07881999095343
1,28.217625561295954,37.82529941764177
1,31.099983293354587,40.66658167865936
1,31.245018544768847,40.775049107131785
1,32.831186242731526,42.292886783209504
1,30.940198639593255,40.4003113912583
1,31.172801179690982,40.627065162955475
1,30.939508328586598,40.33175720774552
1,29.644171471566246,38.99405294419892
1,35.778572280869156,45.102417204864345
1,32.517201370246354,41.7697648774667
1,33.61290781816997,42.72164492091477
1,28.451801328103937,37.51045254119104
1,34.16247686671658,43.139258642539524
1,32.949332106733436,41.92312761107298
1,31.605890142398245,40.57573557279047
1,37.25632713943659,46.211675952465875
1,29.768819344542354,38.57203293283612
1,28.511353635206785,37.270430792859486
1,32.731264409038445,41.37829214257362
1,35.02274541233351,43.61829095340931
1,25.749852651057733,34.32820033464564
1,30.348329019714466,38.90052997798467
1,39.01328101821651,47.51607090718006
1,27.239237845844485,35.726506451170934
1,25.193430755913536,33.63533876392379
1,40.732036859360676,49.166609589458055
1,40.396990554627784,48.78076935688155
1,24.917592009322824,33.28873269489873
1,25.53056332868397,33.86388510159543
1,33.88061481523965,42.08481224517328
1,34.04640234301209,42.23411246526654
1,32.68355405524559,40.81311602529283
1,32.73547761496286,40.814058820215465
1,28.96576532431477,37.0284370707737
1,41.1181661350224,49.14082891611251
1,33.916325434972755,41.93307087463261
1,26.952394718287884,34.94050112211884
1,29.129707682109682,37.09013969288779
1,28.730381653049317,36.65688578748437
1,29.278516508192176,37.142897379961674
1,38.58229646661287,46.424364063677295
1,29.807268117317356,37.627168363148876
1,27.40036810363308,35.17539910952583
1,40.34925850012429,48.09596263683588
1,37.32285275440937,45.05094646315468
1,27.531288456077647,35.24916194916841
1,27.3548469553698,35.060673086305506
1,31.23795371601396,38.93790607549489
1,36.10421856816794,43.80104143559244
1,32.02199208157132,39.67182508320257
1,34.3356756835151,41.98212776052341
1,38.92936987488536,46.43328714013581
1,21.648368012390893,29.151209298175196
1,26.5485940545478,33.983988662569736
1,37.859881184718375,45.22611807123037
1,34.92384038588715,42.281171378256225
1,26.002704298785904,33.2780831932172
1,33.96432725942298,41.201817218108246
1,30.442330789510688,37.66539079103446
1,26.87611325079198,33.96351074460472
1,29.384240588432906,36.458763526651005
1,32.89612298874411,39.967247383317314
1,37.35764467610754,44.41495635714656
1,29.612042305881687,36.647473496671054
1,40.691290793766825,47.70063780552353
1,35.20588440985336,42.19573026737605
1,29.181378191739284,36.142591367715916
1,33.29817281333261,40.21926420979684
1,29.55992976842008,36.437084532964654
1,30.160783372268767,36.97152144194089
1,39.36986995813296,46.135609888796935
1,32.79401760590618,39.54130173919123
1,33.87654997555917,40.60968448858233
1,31.054567131395178,37.704622652276655
1,27.14370805747246,33.78555000709395
1,32.15776056627894,38.75271289590473
1,33.382191270278014,39.932780626223625
1,32.769697899387026,39.20284117349147
1,42.47014186714772,48.89983118601056
1,26.995345016914953,33.360115717755754
1,26.79622925259223,33.14948383662342
1,30.431339485839608,36.75324336222034
1,38.64538635958885,44.96063789883962
1,42.041551248399266,48.3524832675084
1,29.17945974267606,35.448050146460176
1,30.159694836194905,36.42827132974984
1,28.975344540894547,35.2367262273495
1,35.12375975709891,41.32283461314248
1,33.15372293839521,39.34804216072433
1,34.45533912124146,40.64525845722691
1,29.459360399514967,35.63016399438553
1,37.11351531688613,43.24652176979955
1,30.50277100871494,36.60295904173514
1,32.844399381090184,38.937199363298895
1,35.92340880066851,42.00797651160902
1,37.473016095050035,43.54149216278538
1,36.413732194992846,42.44366605809396
1,31.602538274810687,37.628777489021985
1,29.888609245266824,35.89548449822969
1,40.12510866805217,46.08773620963985
1,21.109515525282536,27.05493121310564
1,37.543925729580764,43.47934648410683
1,28.872267378251617,34.8010817357626
1,35.67794594228486,41.60515586354767
1,28.294327024241568,34.195621762089836
1,38.64442117821137,44.54297222308414
1,30.231868071682566,36.106310434295374
1,30.05950646035495,35.84631887886751
1,33.195971281297645,38.937842267469385
1,34.13314658226245,39.79250662679119
1,41.860740000002195,47.50047530268413
1,36.03336159083006,41.671955641538986
1,24.65446447718512,30.24550774127978
1,30.318322672838093,35.838417941772
1,41.35056661395477,46.81274480659456
1,29.84778856254427,35.28426301891432
1,33.69909126850938,39.133180988162934
1,31.670369206401308,37.09161416978475
1,28.617027686411568,34.018922852618346
1,35.18676070036791,40.57530793937191
