CellID,X_centroid,Y_centroid
2,3341.3876811594205,3142.5615942028985
77,2983.707231040564,3772.125220458554
93,3495.4848484848485,3372.8930481283423
121,3654.623563218391,3545.4655172413795
178,3478.441379310345,3349.710344827586
219,2998.619458128079,3139.3091133004928
343,2974.285714285714,3748.984555984556
386,2941.992974238876,3838.271662763466
393,3128.897506925208,3604.409972299169
534,3089.4778420038538,3785.210019267823
576,2785.6550151975684,3836.106382978724
579,3148.7620087336245,3481.2489082969432
580,2950.3695652173915,3539.7430830039525
599,3454.0322061191628,3579.2705314009663
605,3177.216696269982,3832.2362344582593
638,3130.171875,3021.8883928571427
673,3436.195183776933,3342.537389100127
694,3560.511111111111,3203.8444444444444
700,3365.9154228855723,3368.127694859038
717,3406.716049382716,3912.179012345679
737,3034.777287761852,3098.020948180816
751,3613.332802547771,3422.812101910828
753,3564.116242038217,3819.0875796178334
769,2979.969052224372,3863.570599613153
803,3265.8396436525613,3759.26280623608
814,2817.5831485587582,3708.2084257206207
834,3389.6867647058825,3320.419117647059
854,2938.8469656992083,3632.09234828496
884,3224.800469483568,3578.24882629108
943,3417.160237388724,3456.26706231454
1044,2735.6557059961315,3695.3597678916826
1108,3201.034693877551,3378.0755102040816
1153,3366.762711864407,3871.446841294299
1193,2878.9798792756537,3252.7726358148893
1244,3276.1175482787576,3476.905121746432
1442,3237.3890214797134,2953.579952267304
1452,3306.0264084507044,3071.3609154929577
1519,3630.038834951457,3447.06213592233
1543,2658.4978813559323,3574.8156779661017
1547,2806.448160535117,3930.444816053512
1561,2846.1029411764707,3266.794117647059
1602,3313.654952076677,3571.821086261981
1607,3162.759322033898,4060.735593220339
1638,2731.299835255354,3371.263591433278
1743,3310.0409356725145,3245.53216374269
1801,2697.056710775047,3878.412098298677
1830,3566.73828125,3683.8463541666665
1895,3492.147540983606,3720.6018735363
2037,3613.912087912088,3211.9688644688645
2059,2754.7978227060653,3272.47433903577
2110,3206.354054054054,3213.9540540540543
2191,3034.929347826087,4010.621376811594
2299,3499.398854961832,3595.0190839694656
2322,3433.0128205128203,3563.117521367521
2428,2609.525,3465.6375
2687,3325.803328290469,3866.910741301059
2738,3155.456896551724,3277.426724137931
2768,2914.2207505518763,3995.119205298013
2876,2843.948529411765,3248.683823529412
2891,3405.1205936920223,3946.790352504638
2943,3140.5569620253164,3540.071729957806
2960,3430.941680960549,3977.044596912521
3078,3594.5995024875624,3649.975124378109
3160,3141.043771043771,3986.190796857464
