CellID,X_centroid,Y_centroid
932,5408.033783783784,5328.621621621622
981,5351.856923076924,4915.1876923076925
2140,5546.098143236074,5405.594164456234
2749,5241.961764705882,4992.238235294118
4259,5278.013245033113,5591.877483443709
4542,5280.574257425743,5232.262376237623
5869,5237.136363636364,5512.664772727273
7451,5224.12037037037,5388.453703703704
8136,5813.811846689896,5358.344947735191
8471,5355.293103448276,5263.086206896552
8837,5684.065359477124,4980.359477124183
8951,5360.151515151515,5499.325757575758
9328,5084.183673469388,5443.7040816326535
9896,5373.695652173913,5582.732441471572
9995,5530.141791044776,5672.410447761194
10178,5384.099697885196,5117.178247734139
10648,5612.086206896552,5104.787356321839
10894,5086.423076923077,5400.082417582417
10966,5636.162790697675,5026.217054263566
10996,5455.87027027027,4870.318918918919
11060,5500.1,5232.3
12107,5743.148936170212,5066.4212765957445
12391,5211.038167938931,5377.633587786259
12525,5827.2624584717605,5197.920265780731
12534,5568.755555555556,4953.674074074074
12640,5608.380697050939,5156.865951742628
12766,5065.17665615142,5089.703470031545
12828,5448.513513513513,5652.972972972973
13115,5111.345177664975,5428.5
13618,5108.948529411765,5357.33455882353
13755,5178.783783783784,5352.891891891892
13796,5182.04347826087,5037.401337792642
13836,5666.165584415585,5128.185064935065
14021,5119.519047619047,5548.647619047619
14235,5732.40589569161,5403.111111111111
14970,5691.464285714285,5223.359693877551
15016,5724.162576687117,5427.773006134969
15417,5128.943820224719,5049.179775280899
15809,5491.394366197183,4894.316901408451
16237,5174.994285714286,5245.04
16365,5396.935828877005,5038.524064171123
16487,5591.566433566433,5120.713286713287
16586,5033.835555555555,5323.591111111111
16628,5268.064814814815,5326.101851851852
16948,5475.0,5161.594827586207
17082,5039.699346405228,5210.607843137255
17252,5552.936,4943.844
17357,5117.530973451328,5088.814159292036
17648,5647.3967741935485,5614.643548387096
17660,5704.420765027322,5025.568306010929
17868,5460.633165829146,5061.811557788945
18076,5329.685106382979,5554.238297872341
18099,5117.581151832461,5024.863874345549
18154,5259.8110599078345,4986.124423963133
18246,5466.944444444444,5234.166666666667
18331,5670.126782884311,5545.721077654516
18419,5616.469002695418,5539.603773584906
18612,5607.9754601227,4933.312883435583
18766,5441.0722891566265,5181.849397590361
18850,5377.889830508475,5297.525423728814
18861,5647.828767123287,4959.571917808219
19057,5252.142857142857,5384.371428571429
19548,5279.853881278539,5657.251141552511
19578,5206.742268041237,5152.082474226804
19761,5700.039007092199,4987.36170212766
19854,5728.620320855615,5050.951871657754
19965,5538.513966480447,5655.754189944134
20443,5659.9956043956045,5513.432967032967
20567,5585.88256227758,5398.014234875445
20620,5748.091240875912,5465.616788321168
20777,5307.045801526718,4938.996183206107
20804,5438.057692307692,5218.99358974359
21122,5388.236641221374,5516.862595419847
21807,5732.567164179104,5173.108208955224
22177,5515.266211604096,5094.378839590444
22639,5427.04347826087,5327.95652173913
22878,5286.63779527559,5362.023622047244
22919,5796.290196078431,5347.709803921569
22926,5423.385185185185,5073.022222222222
22928,5428.481818181818,5533.359090909091
23000,5253.315175097277,5263.322957198444
23159,5338.661764705882,5208.551470588235
23186,5686.005128205128,5520.553846153846
23216,5413.694444444444,5166.398148148148
23250,5674.18231292517,5255.122448979592
23298,5457.5375,5145.825
23407,5346.326797385621,5129.5392156862745
23738,5463.325581395349,5216.575581395349
23890,5423.934782608696,5342.623188405797
23922,5146.917355371901,5418.264462809917
23975,5022.151079136691,5201.374100719425
24606,5569.453821656051,5498.573248407643
24648,5110.896296296296,5170.837037037037
24672,5707.320665083135,5528.8574821852735
24782,5175.495867768595,5088.793388429752
24895,5551.125,5110.53125
24949,5257.313868613139,5223.262773722628
25015,5763.503597122302,5133.046762589928
25042,5344.092857142857,5280.321428571428
25054,5219.6742081447965,5592.638009049774
25120,5236.668604651163,5443.040697674419
25210,5512.008733624454,5334.733624454148
25272,5226.170212765957,5403.478723404255
25278,5294.244047619048,5332.773809523809
25992,5743.747720364741,5532.604863221884
26051,5491.88679245283,4958.4009433962265
26061,5615.975945017182,5369.474226804124
26123,5201.765182186235,5180.481781376519
26155,5463.048582995952,4935.769230769231
26278,5145.79020979021,5542.181818181818
26518,5121.913513513514,5075.005405405405
26991,5496.623529411765,5423.6274509803925
27005,5508.425414364641,4917.662983425415
27027,5180.57,5546.303333333333
27258,5759.260638297872,5367.372340425532
27319,5456.555555555556,5566.868055555556
27520,5095.086826347306,5457.041916167665
27574,5629.520134228188,5278.805369127517
27598,5239.15923566879,5152.458598726114
27609,5509.516260162602,4879.126016260163
27850,5280.320346320346,5041.225108225109
28176,5128.2405063291135,5209.2468354430375
28285,5395.592452830188,5586.788679245283
28330,5439.628712871288,5516.490099009901
28369,5157.190114068441,5403.859315589353
28441,5497.906832298137,5039.434782608696
28587,5319.821705426357,5528.554263565891
28613,5440.375545851528,5673.807860262009
28620,5562.232558139535,5553.488372093023
28987,5603.686363636363,4919.318181818182
29075,5572.401408450704,5658.633802816901
29202,5154.116883116883,5037.969696969697
29269,5716.002659574468,5189.470744680851
29544,5752.463878326997,5514.03422053232
29677,5527.399103139013,5488.62331838565
29909,5518.094527363184,5164.437810945274
29933,5039.337801608579,5437.455764075067
29975,5575.294117647059,5036.3
30329,5065.004273504273,5132.119658119658
30463,5440.469964664311,5575.47703180212
30514,5082.420408163265,5097.167346938775
30611,5425.593582887701,5128.534759358289
30627,5192.029166666666,5473.133333333333
30685,5387.573426573426,5090.0
30721,5343.794871794872,5514.413461538462
30856,5417.165,5279.365
30946,5377.282660332541,4889.767220902613
31309,5303.822742474917,5308.889632107023
31330,5156.18556701031,5603.030927835051
31531,5715.8899082568805,5066.623853211009
31603,5190.205882352941,5311.788235294118
31731,5145.567164179104,5213.134328358209
31869,5087.85593220339,5522.050847457627
31883,5392.008333333333,5211.308333333333
31928,5737.059602649007,5147.17880794702
32102,5664.323529411765,5021.901960784314
32104,5162.896103896104,5425.071428571428
32131,5392.591216216216,4914.2972972972975
32335,5460.980434782608,5465.645652173913
32454,5251.535519125683,5008.622950819672
32478,5099.490384615385,5059.88782051282
32624,5523.875,5632.625
32669,5323.701438848921,4926.287769784172
32792,5485.026548672567,5250.6106194690265
32907,5127.516339869281,5565.107843137255
33008,5595.5,5557.482456140351
33012,5421.684444444444,5519.324444444444
33058,5618.175879396985,5016.045226130654
33235,5306.737967914439,5018.229946524064
33248,5429.146814404432,5462.720221606648
33449,5142.151376146789,5054.302752293578
33473,5828.188144329897,5265.0747422680415
33529,5281.186206896552,4952.372413793103
33588,5245.23595505618,5241.848314606742
33662,5334.418699186992,5636.516260162602
33671,5565.708542713568,5642.462311557789
33739,5075.027586206897,5177.631034482759
33765,5314.843434343435,5032.045454545455
33965,5395.046728971963,4957.705607476635
34012,5505.046610169492,4933.478813559322
34123,5609.372469635628,5062.105263157895
34205,5362.208737864078,4996.665048543689
34261,5232.669421487603,5365.570247933884
34341,5723.074468085107,5030.420212765957
34405,5643.330246913581,5527.654320987655
34410,5234.923469387755,5578.714285714285
34513,5036.752747252747,5258.8351648351645
34612,5315.069958847736,5002.860082304527
34620,5162.476878612717,5014.875722543353
34678,5683.126506024097,5023.524096385542
34702,5503.285714285715,5220.0
34763,5240.087719298245,5652.561403508772
34836,5630.184210526316,4957.846491228071
34903,5452.822115384615,5684.197115384615
35155,5785.2828947368425,5207.3421052631575
35158,5812.076642335766,5303.2773722627735
35342,5642.406474820144,5356.46762589928
35499,5731.910780669145,5556.847583643123
35704,5550.296610169492,5284.533898305085
35708,5164.215094339623,5278.166037735849
35745,5492.497076023392,5501.356725146199
35757,5415.65923566879,5488.58280254777
35767,5291.823899371069,5412.748427672956
35768,5010.798611111111,5315.8125
35811,5504.870848708487,5483.439114391144
35867,5452.850622406639,5025.04979253112
36053,5749.49375,5319.241666666667
36187,5374.475247524752,5106.009900990099
36222,5254.832558139535,5613.441860465116
36460,5476.395161290323,5635.814516129032
36524,5162.686567164179,5445.18407960199
36533,5589.375838926175,5265.4496644295305
36557,5429.918181818181,4894.118181818182
36585,5520.883040935672,5515.356725146199
36655,5448.943319838057,5045.02024291498
