CellID,X_centroid,Y_centroid
73,5532.035928143712,4079.5988023952095
91,5310.370023419204,4350.030444964871
95,5263.712087912088,4588.424175824176
160,5332.440771349862,4279.468319559229
185,5299.922190201729,4111.726224783862
220,5248.589130434782,4532.113043478261
259,5609.646302250804,4742.3504823151125
305,5035.664652567976,4321.845921450151
324,5781.404558404558,4501.997150997151
355,5261.245945945946,4267.767567567567
438,5342.825431034483,4230.148706896552
478,5646.427645788337,4393.561555075594
480,5156.008602150538,4668.604301075269
508,5433.0,4717.677298311444
543,5289.683098591549,4569.517605633803
600,5497.427440633245,4505.522427440634
644,5628.546925566343,4383.4012944983815
654,5404.234666666666,4550.277333333333
784,5621.786377708979,4648.520123839009
804,5395.76455026455,4598.063492063492
825,5596.132352941177,4221.338235294118
827,5431.337142857143,4445.045714285714
853,5404.345930232558,4389.680232558139
897,5033.171134020618,4604.088659793814
1025,5414.098412698413,4605.050793650794
1051,5513.743732590529,4271.66573816156
1081,5547.967272727273,4587.890909090909
1182,5419.613372093023,4570.1511627906975
1215,5720.584905660377,4347.894878706199
1230,5487.518918918919,4309.57027027027
1248,5328.46403712297,4142.396751740139
1286,5682.858490566037,4120.813679245283
1327,5446.505016722408,4375.816053511706
1503,5489.958656330749,4291.6330749354
1522,5265.295857988166,4721.6863905325445
1549,5403.12292358804,4709.498338870432
1571,5220.40625,4704.954545454545
1572,5387.762569832402,4537.474860335195
1589,5574.721407624634,4266.310850439882
1648,5400.190909090909,4367.184848484849
1682,5292.839344262296,4037.154098360656
1684,5806.03133159269,4561.399477806788
1867,5476.532738095239,4365.276785714285
2235,5673.636094674556,4470.076923076923
2564,5411.79295154185,4270.140969162996
2635,5462.193251533742,4480.085889570552
2638,5384.908814589666,4699.313069908814
2706,5617.181818181818,4526.03125
2726,5566.957597173145,4248.014134275619
2964,5342.010282776349,4712.0925449871465
3069,5596.161931818182,4363.863636363636
3071,5046.9209183673465,4626.127551020408
3223,5274.829971181556,4432.726224783862
3322,5568.6502463054185,4602.891625615764
3324,5486.117424242424,4212.109848484848
3357,5509.192857142857,4212.928571428572
3378,5560.667582417583,4162.063186813187
3400,5200.039568345324,4665.3345323741005
3414,5321.335504885993,4028.609120521173
3461,5439.5547169811325,4783.188679245283
3607,5582.9969418960245,4666.859327217126
3617,5604.434944237918,4557.881040892194
3628,5825.720812182741,4568.982233502538
