phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
stromal cells,Stromal,1761.0,AGSCC_1_1761,34540.6926523298,5853.87992831541
Ki67+ tumor cells,Ki67+ tumor,2431.0,AGSCC_1_2431,34422.0707434053,4491.92086330935
tumor cells,Tumor,3867.0,AGSCC_1_3867,34771.5490367776,7343.66725043783
stromal cells,Stromal,8387.0,AGSCC_1_8387,35705.0145454545,6131.20909090909
Ki67+ tumor cells,Ki67+ tumor,8807.0,AGSCC_1_8807,35469.1774011299,6478.66440677966
stromal cells,Stromal,9665.0,AGSCC_1_9665,35179.8552631579,6036.50584795322
NK,NK,10182.0,AGSCC_1_10182,34454.5169712794,4380.32506527415
stromal cells,Stromal,10724.0,AGSCC_1_10724,34754.6378986867,4958.15384615385
stromal cells,Stromal,12043.0,AGSCC_1_12043,35717.3260869565,5711.51278772379
Ki67+ tumor cells,Ki67+ tumor,13212.0,AGSCC_1_13212,34653.9607843137,4974.44662309368
stromal cells,Stromal,13818.0,AGSCC_1_13818,34831.0095541401,4950.30891719745
stromal cells,Stromal,14391.0,AGSCC_1_14391,35786.9180327869,5332.43647540984
stromal cells,Stromal,15537.0,AGSCC_1_15537,34813.7402061856,5105.35670103093
stromal cells,Stromal,17720.0,AGSCC_1_17720,35634.7111315547,6641.00551977921
Ki67+ tumor cells,Ki67+ tumor,19536.0,AGSCC_1_19536,34833.4153627312,4348.20056899004
stromal cells,Stromal,19595.0,AGSCC_1_19595,35636.78962818,6606.68590998043
effector CD8+ T cells,Effector CD8+ T cells,20214.0,AGSCC_1_20214,35894.6172839506,4714.11522633745
stromal cells,Stromal,20714.0,AGSCC_1_20714,35475.409051349,6288.65535248042
stromal cells,Stromal,22645.0,AGSCC_1_22645,34461.7621776504,5836.92406876791
stromal cells,Stromal,23123.0,AGSCC_1_23123,35092.6375404531,6011.2216828479
stromal cells,Stromal,23759.0,AGSCC_1_23759,35567.3541666667,6510.29464285714
stromal cells,Stromal,24059.0,AGSCC_1_24059,35410.9851485149,5499.88283828383
stromal cells,Stromal,24275.0,AGSCC_1_24275,35052.128992629,6439.02641277641
tumor cells,Tumor,24278.0,AGSCC_1_24278,35058.2084168337,5994.58917835671
tumor cells,Tumor,24723.0,AGSCC_1_24723,34634.5145482389,5305.51761102603
Ki67+ tumor cells,Ki67+ tumor,24815.0,AGSCC_1_24815,34557.4139465875,7424.96884272997
stromal cells,Stromal,25860.0,AGSCC_1_25860,34954.2741721854,6784.19072847682
Ki67+ tumor cells,Ki67+ tumor,26581.0,AGSCC_1_26581,34576.2361111111,7551.17592592593
M2 macrophages,M2 macrophages,26653.0,AGSCC_1_26653,34639.7117437722,4361.8256227758
Ki67+ tumor cells,Ki67+ tumor,26809.0,AGSCC_1_26809,34887.7189349112,6147.1449704142
stromal cells,Stromal,27022.0,AGSCC_1_27022,35584.5348837209,6697.67653276956
stromal cells,Stromal,27216.0,AGSCC_1_27216,34964.8104265403,6505.71090047393
stromal cells,Stromal,29611.0,AGSCC_1_29611,35510.0871404399,5486.71489001692
stromal cells,Stromal,30246.0,AGSCC_1_30246,35521.6924778761,6863.3860619469
stromal cells,Stromal,31257.0,AGSCC_1_31257,34647.2829888712,5611.72178060413
Ki67+ tumor cells,Ki67+ tumor,32944.0,AGSCC_1_32944,34653.9070121951,7563.14786585366
neutrophils,Neutrophils,33519.0,AGSCC_1_33519,34824.364321608,6017.34422110553
stromal cells,Stromal,33741.0,AGSCC_1_33741,34180.2633996937,5661.60183767228
endothelial cells,Endothelial,34769.0,AGSCC_1_34769,34789.222737819,6329.15081206497
stromal cells,Stromal,36155.0,AGSCC_1_36155,34930.5892018779,6133.74061032864
stromal cells,Stromal,37566.0,AGSCC_1_37566,34597.5188834154,4375.79638752053
stromal cells,Stromal,37792.0,AGSCC_1_37792,35768.389298893,5846.51568265683
tumor cells,Tumor,37845.0,AGSCC_1_37845,35446.1447212337,6402.17912218268
dendritic cells,Dendritic cells,38891.0,AGSCC_1_38891,35003.0383275261,5929.78397212544
Unknown,Other,40214.0,AGSCC_1_40214,34796.3815165877,6136.45023696682
stromal cells,Stromal,40884.0,AGSCC_1_40884,35069.7694610778,5910.76347305389
stromal cells,Stromal,41941.0,AGSCC_1_41941,34529.9476102941,5810.94117647059
dendritic cells,Dendritic cells,41944.0,AGSCC_1_41944,34146.9263657957,5837.41805225653
stromal cells,Stromal,42122.0,AGSCC_1_42122,34739.6649874055,5971.86397984887
stromal cells,Stromal,42726.0,AGSCC_1_42726,34869.7921686747,6297.72289156627
stromal cells,Stromal,43617.0,AGSCC_1_43617,34901.8432017544,6272.76754385965
stromal cells,Stromal,44314.0,AGSCC_1_44314,35834.5419440746,5898.15312916112
Ki67+ tumor cells,Ki67+ tumor,44664.0,AGSCC_1_44664,35161.9020172911,4492.27377521614
stromal cells,Stromal,44737.0,AGSCC_1_44737,35432.411946447,6554.81771369722
stromal cells,Stromal,44957.0,AGSCC_1_44957,35160.0243589744,6994.09615384615
tumor cells,Tumor,46925.0,AGSCC_1_46925,34786.6550868486,6762.21091811414
stromal cells,Stromal,47095.0,AGSCC_1_47095,34563.5904059041,5299.41328413284
stromal cells,Stromal,47338.0,AGSCC_1_47338,34714.9128856624,4677.98729582577
stromal cells,Stromal,47596.0,AGSCC_1_47596,35380.0637860082,6092.70987654321
stromal cells,Stromal,48211.0,AGSCC_1_48211,34543.136071887,5761.07445442875
effector CD8+ T cells,Effector CD8+ T cells,48229.0,AGSCC_1_48229,35412.0158311346,5734.98153034301
stromal cells,Stromal,50182.0,AGSCC_1_50182,34859.4271428571,5898.55285714286
