phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
stromal cells,Stromal,458735.0,AGSCC_1_458735,39593.4703557312,31899.7549407115
memory CD4+ T cells,Regulatory T cells,459394.0,AGSCC_1_459394,38594.9462365591,30834.4301075269
endothelial cells,Endothelial,459539.0,AGSCC_1_459539,39731.0563380282,31620.25
stromal cells,Stromal,459761.0,AGSCC_1_459761,38394.3333333333,32552.802259887
stromal cells,Stromal,460106.0,AGSCC_1_460106,38632.2896174863,32104.262295082
stromal cells,Stromal,460198.0,AGSCC_1_460198,38770.0590405904,31807.5977859779
stromal cells,Stromal,460565.0,AGSCC_1_460565,39863.0436781609,31318.6402298851
stromal cells,Stromal,460966.0,AGSCC_1_460966,38762.4008438819,29430.9240506329
stromal cells,Stromal,461392.0,AGSCC_1_461392,38878.0810810811,32831.2586872587
endothelial cells,Endothelial,461501.0,AGSCC_1_461501,38767.5144694534,31793.7363344051
memory CD8+ T cells,Effector CD8+ T cells,462008.0,AGSCC_1_462008,37976.329113924,31229.0759493671
stromal cells,Stromal,462687.0,AGSCC_1_462687,38144.9368421053,32478.9105263158
CD4+ T cells,CD4+ T cells,462827.0,AGSCC_1_462827,38832.5473684211,32799.5473684211
NK,NK,463553.0,AGSCC_1_463553,38422.4,31047.5125
other APCs,Other APCs,464477.0,AGSCC_1_464477,39715.125,32486.4270833333
stromal cells,Stromal,465345.0,AGSCC_1_465345,39581.1944894652,32034.2868719611
memory CD4+ T cells,Regulatory T cells,465756.0,AGSCC_1_465756,37906.9274193548,30914.1169354839
stromal cells,Stromal,466400.0,AGSCC_1_466400,39065.4659400545,32061.621253406
memory CD8+ T cells,Effector CD8+ T cells,466430.0,AGSCC_1_466430,38306.924,32597.1
M1/M0 macrophages,M1/M0 macrophages,466979.0,AGSCC_1_466979,38501.3613445378,30999.7521008403
M1/M0 macrophages,M1/M0 macrophages,467539.0,AGSCC_1_467539,38379.2661290323,31405.8064516129
stromal cells,Stromal,468169.0,AGSCC_1_468169,38896.4953271028,29373.4579439252
stromal cells,Stromal,469461.0,AGSCC_1_469461,39777.7156862745,31507.1699346405
M2 macrophages,M2 macrophages,470191.0,AGSCC_1_470191,39712.316199377,30571.5778816199
CD4+ T cells,CD4+ T cells,470821.0,AGSCC_1_470821,39159.0434782609,32753.0962732919
effector CD8+ T cells,Effector CD8+ T cells,471556.0,AGSCC_1_471556,38658.1211498973,29702.7700205339
CD4+ T cells,CD4+ T cells,472258.0,AGSCC_1_472258,38730.0501392758,30913.2646239554
stromal cells,Stromal,472884.0,AGSCC_1_472884,39006.6639004149,32848.0705394191
stromal cells,Stromal,473185.0,AGSCC_1_473185,39569.5925925926,31825.8148148148
stromal cells,Stromal,474100.0,AGSCC_1_474100,38876.0490566038,32745.9169811321
stromal cells,Stromal,474339.0,AGSCC_1_474339,38991.7934782609,31744.1195652174
stromal cells,Stromal,475950.0,AGSCC_1_475950,38597.3314917127,30855.4751381215
memory CD4+ T cells,Regulatory T cells,476127.0,AGSCC_1_476127,38119.606557377,31134.7459016393
stromal cells,Stromal,476189.0,AGSCC_1_476189,39113.3441558442,31993.4415584416
stromal cells,Stromal,476822.0,AGSCC_1_476822,38215.0487804878,29526.2682926829
M1/M0 macrophages,M1/M0 macrophages,477117.0,AGSCC_1_477117,38933.0086580087,32103.2121212121
stromal cells,Stromal,477642.0,AGSCC_1_477642,38612.0341296928,32366.3959044369
dendritic cells,Dendritic cells,478154.0,AGSCC_1_478154,38658.98,30257.52
stromal cells,Stromal,478166.0,AGSCC_1_478166,39147.6344086021,32797.8548387097
effector CD8+ T cells,Effector CD8+ T cells,478766.0,AGSCC_1_478766,38440.9277108434,29745.3092369478
CD4+ T cells,CD4+ T cells,478939.0,AGSCC_1_478939,38854.3483146067,29388.702247191
M1/M0 macrophages,M1/M0 macrophages,479084.0,AGSCC_1_479084,38091.6372239748,29665.6119873817
effector CD8+ T cells,Effector CD8+ T cells,479099.0,AGSCC_1_479099,39708.8895522388,31545.728358209
stromal cells,Stromal,479179.0,AGSCC_1_479179,38920.9337979094,32120.7804878049
memory CD4+ T cells,Regulatory T cells,480251.0,AGSCC_1_480251,38302.6274509804,32619.614379085
effector CD8+ T cells,Effector CD8+ T cells,481296.0,AGSCC_1_481296,39550.3302752294,32566.9633027523
stromal cells,Stromal,482260.0,AGSCC_1_482260,38273.9591836735,31065.8673469388
stromal cells,Stromal,482746.0,AGSCC_1_482746,38860.7068273092,31977.0602409639
memory CD4+ T cells,Regulatory T cells,482822.0,AGSCC_1_482822,37826.7061068702,32794.4961832061
stromal cells,Stromal,483220.0,AGSCC_1_483220,38650.0769230769,29551.0446650124
stromal cells,Stromal,483542.0,AGSCC_1_483542,38780.820861678,32441.2857142857
stromal cells,Stromal,484568.0,AGSCC_1_484568,38812.7888888889,32791.1111111111
memory CD8+ T cells,Effector CD8+ T cells,485173.0,AGSCC_1_485173,38414.2585034014,32304.268707483
memory CD4+ T cells,Regulatory T cells,485726.0,AGSCC_1_485726,38504.1439393939,32405.553030303
stromal cells,Stromal,485729.0,AGSCC_1_485729,38688.9542253521,30768.573943662
stromal cells,Stromal,485942.0,AGSCC_1_485942,39547.3630952381,31896.119047619
stromal cells,Stromal,486464.0,AGSCC_1_486464,38541.9435897436,32382.2666666667
stromal cells,Stromal,486589.0,AGSCC_1_486589,39061.6756756757,32681.9256756757
stromal cells,Stromal,487407.0,AGSCC_1_487407,39172.6788321168,30517.9160583942
stromal cells,Stromal,488053.0,AGSCC_1_488053,39449.711409396,31836.8187919463
stromal cells,Stromal,488209.0,AGSCC_1_488209,39415.5695364238,31789.0066225166
endothelial cells,Endothelial,488301.0,AGSCC_1_488301,38407.0747922438,32237.9362880886
stromal cells,Stromal,489130.0,AGSCC_1_489130,39753.5182072829,31638.837535014
stromal cells,Stromal,489371.0,AGSCC_1_489371,38848.3755656109,32755.3257918552
CD4+ T cells,CD4+ T cells,490050.0,AGSCC_1_490050,39778.1803797468,31613.3892405063
CD4+ T cells,CD4+ T cells,490479.0,AGSCC_1_490479,38142.3888888889,32589.8531746032
stromal cells,Stromal,490651.0,AGSCC_1_490651,38510.2816901409,32544.3403755869
stromal cells,Stromal,491142.0,AGSCC_1_491142,38522.6747572816,32352.3106796117
stromal cells,Stromal,491212.0,AGSCC_1_491212,39632.286908078,31769.4401114206
neutrophils,Neutrophils,491972.0,AGSCC_1_491972,38174.297029703,32523.1732673267
other APCs,Other APCs,492894.0,AGSCC_1_492894,37835.2272727273,32716.1293706294
endothelial cells,Endothelial,493316.0,AGSCC_1_493316,38992.3896103896,31958.5974025974
stromal cells,Stromal,493640.0,AGSCC_1_493640,39429.01,31791.315
stromal cells,Stromal,493992.0,AGSCC_1_493992,37898.2727272727,30952.5454545455
stromal cells,Stromal,494473.0,AGSCC_1_494473,38824.5746753247,32283.7305194805
stromal cells,Stromal,495018.0,AGSCC_1_495018,38714.6598360656,32809.5040983607
stromal cells,Stromal,495216.0,AGSCC_1_495216,38507.7608695652,32499.852173913
M1/M0 macrophages,M1/M0 macrophages,495375.0,AGSCC_1_495375,37865.5938864629,32792.4104803493
