phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
memory CD8+ T cells,Effector CD8+ T cells,70436.0,F81P1_70436,29895.8358208955,48751.4353233831
stromal cells,Stromal,70510.0,F81P1_70510,30363.5846153846,47946.9846153846
stromal cells,Stromal,70525.0,F81P1_70525,33027.8813559322,47564.5211864407
CD4+ T cells,CD4+ T cells,70556.0,F81P1_70556,32001.0,48299.6875
memory CD4+ T cells,Regulatory T cells,70643.0,F81P1_70643,31977.4723404255,48372.4255319149
endothelial cells,Endothelial,70789.0,F81P1_70789,32004.2,47458.9382716049
CD4+ T cells,CD4+ T cells,70841.0,F81P1_70841,30798.4260869565,48097.6
memory CD4+ T cells,Regulatory T cells,70946.0,F81P1_70946,31825.0933333333,47663.2177777778
memory CD4+ T cells,Regulatory T cells,70986.0,F81P1_70986,31465.453125,47854.9010416667
CD4+ T cells,CD4+ T cells,71126.0,F81P1_71126,32908.0132450331,48674.0132450331
M2 macrophages,M2 macrophages,71470.0,F81P1_71470,32021.8705882353,47331.0294117647
M2 macrophages,M2 macrophages,71663.0,F81P1_71663,32174.6397306397,48466.0538720539
CD4+ T cells,CD4+ T cells,71750.0,F81P1_71750,31768.2749445676,48097.266075388
memory CD4+ T cells,Regulatory T cells,71781.0,F81P1_71781,31089.9541284404,48522.1146788991
memory CD4+ T cells,Regulatory T cells,72010.0,F81P1_72010,31318.925,47571.54375
dendritic cells,Dendritic cells,72152.0,F81P1_72152,30397.537254902,48617.3411764706
CD4+ T cells,CD4+ T cells,72221.0,F81P1_72221,32821.303514377,48577.0255591054
endothelial cells,Endothelial,72231.0,F81P1_72231,31028.0165745856,47519.6077348066
CD4+ T cells,CD4+ T cells,72240.0,F81P1_72240,33302.1990521327,48531.8815165877
effector CD8+ T cells,Effector CD8+ T cells,72493.0,F81P1_72493,32223.8938992043,48342.9575596817
CD4+ T cells,CD4+ T cells,72597.0,F81P1_72597,29557.1739130435,48755.5527950311
stromal cells,Stromal,72707.0,F81P1_72707,31214.4463840399,48491.6334164589
endothelial cells,Endothelial,72738.0,F81P1_72738,30131.717948718,48494.2
stromal cells,Stromal,72784.0,F81P1_72784,30982.5115207373,47525.2857142857
regulatory T cells,Regulatory T cells,72827.0,F81P1_72827,30348.8461538462,48654.963800905
stromal cells,Stromal,72884.0,F81P1_72884,32066.8537414966,48409.1020408163
endothelial cells,Endothelial,73022.0,F81P1_73022,29577.5185185185,48125.4444444444
CD4+ T cells,CD4+ T cells,73028.0,F81P1_73028,32093.1082621083,48139.6552706553
memory CD4+ T cells,Regulatory T cells,73050.0,F81P1_73050,30982.6914600551,48249.7961432507
endothelial cells,Endothelial,73252.0,F81P1_73252,32102.3818897638,48263.905511811
memory CD4+ T cells,Regulatory T cells,73591.0,F81P1_73591,33162.1756756757,48578.3513513514
memory CD4+ T cells,Regulatory T cells,73835.0,F81P1_73835,31193.3798076923,48568.5048076923
M1/M0 macrophages,M1/M0 macrophages,73916.0,F81P1_73916,29277.3730569948,48368.792746114
effector CD8+ T cells,Effector CD8+ T cells,73938.0,F81P1_73938,30978.375,48447.865
stromal cells,Stromal,73972.0,F81P1_73972,32334.3819241983,48575.7259475219
endothelial cells,Endothelial,74021.0,F81P1_74021,32992.2761506276,47787.2928870293
effector CD8+ T cells,Effector CD8+ T cells,74121.0,F81P1_74121,31775.108490566,48153.9433962264
endothelial cells,Endothelial,74195.0,F81P1_74195,30741.3300492611,47841.6600985222
memory CD4+ T cells,Regulatory T cells,74370.0,F81P1_74370,32839.3506493507,48746.5324675325
stromal cells,Stromal,74407.0,F81P1_74407,32189.8610169492,48326.8644067797
endothelial cells,Endothelial,74510.0,F81P1_74510,31304.2893617021,47610.2765957447
stromal cells,Stromal,74565.0,F81P1_74565,29924.9255813954,48028.0465116279
effector CD8+ T cells,Effector CD8+ T cells,74902.0,F81P1_74902,33000.9367816092,48703.3333333333
CD4+ T cells,CD4+ T cells,74957.0,F81P1_74957,31583.8181818182,47803.1054545455
stromal cells,Stromal,75009.0,F81P1_75009,32955.7514124294,48084.8531073446
stromal cells,Stromal,75143.0,F81P1_75143,29119.1325966851,48222.0773480663
CD4+ T cells,CD4+ T cells,75166.0,F81P1_75166,31905.9953917051,48300.3133640553
stromal cells,Stromal,75488.0,F81P1_75488,30118.4,48438.2315789474
regulatory T cells,Regulatory T cells,75719.0,F81P1_75719,32323.9552238806,47752.6119402985
memory CD8+ T cells,Effector CD8+ T cells,75864.0,F81P1_75864,30438.9359605911,48489.5123152709
CD4+ T cells,CD4+ T cells,76398.0,F81P1_76398,32667.7704402516,47952.5849056604
stromal cells,Stromal,76455.0,F81P1_76455,32277.9545454545,48424.4943181818
effector CD8+ T cells,Effector CD8+ T cells,76616.0,F81P1_76616,31921.6666666667,48231.8888888889
memory CD8+ T cells,Effector CD8+ T cells,76875.0,F81P1_76875,32258.9043824701,48262.2111553785
CD4+ T cells,CD4+ T cells,76878.0,F81P1_76878,29506.3,48755.8217391304
CD4+ T cells,CD4+ T cells,77124.0,F81P1_77124,31408.7638888889,47698.6840277778
endothelial cells,Endothelial,77298.0,F81P1_77298,30951.8484210526,48602.9284210526
endothelial cells,Endothelial,77543.0,F81P1_77543,29346.4622425629,48377.9908466819
CD4+ T cells,CD4+ T cells,77600.0,F81P1_77600,33047.2445652174,48658.4891304348
effector CD8+ T cells,Effector CD8+ T cells,77602.0,F81P1_77602,32821.5511363636,47804.7386363636
memory CD4+ T cells,Regulatory T cells,77704.0,F81P1_77704,31249.3226837061,48566.5878594249
effector CD8+ T cells,Effector CD8+ T cells,77721.0,F81P1_77721,31450.3405572755,48393.226006192
regulatory T cells,Regulatory T cells,77803.0,F81P1_77803,30824.6954887218,48228.9511278196
stromal cells,Stromal,77917.0,F81P1_77917,33154.1261682243,48317.7663551402
memory CD4+ T cells,Regulatory T cells,77957.0,F81P1_77957,30608.6593886463,48358.5021834061
effector CD8+ T cells,Effector CD8+ T cells,77998.0,F81P1_77998,32479.6615384615,48515.8564102564
endothelial cells,Endothelial,78144.0,F81P1_78144,31762.4571428571,47521.012244898
NK,NK,78229.0,F81P1_78229,31215.0718232044,48412.2541436464
memory CD8+ T cells,Effector CD8+ T cells,78307.0,F81P1_78307,30935.1310043668,48401.3624454148
endothelial cells,Endothelial,78316.0,F81P1_78316,32399.595,47784.62
CD4+ T cells,CD4+ T cells,78375.0,F81P1_78375,29334.9675090253,48411.4368231047
memory CD4+ T cells,Regulatory T cells,78424.0,F81P1_78424,32194.5646551724,47902.5905172414
stromal cells,Stromal,78539.0,F81P1_78539,31926.8943396226,48332.2943396226
stromal cells,Stromal,78551.0,F81P1_78551,30014.9252336449,47989.0794392523
endothelial cells,Endothelial,78716.0,F81P1_78716,31504.5191082803,47709.949044586
stromal cells,Stromal,79044.0,F81P1_79044,32549.5148514852,48073.5594059406
endothelial cells,Endothelial,79055.0,F81P1_79055,31236.1132075472,48471.7311320755
memory CD8+ T cells,Effector CD8+ T cells,79510.0,F81P1_79510,30079.06,48219.356
stromal cells,Stromal,79517.0,F81P1_79517,32308.9518072289,48540.4618473896
CD4+ T cells,CD4+ T cells,79557.0,F81P1_79557,32047.9726027397,47826.0867579909
memory CD4+ T cells,Regulatory T cells,79649.0,F81P1_79649,31199.6565934066,48584.3543956044
CD4+ T cells,CD4+ T cells,79898.0,F81P1_79898,31295.8676470588,48314.8774509804
CD4+ T cells,CD4+ T cells,79995.0,F81P1_79995,32891.352,48689.264
memory CD4+ T cells,Regulatory T cells,80162.0,F81P1_80162,30993.0625,48355.046875
memory CD4+ T cells,Regulatory T cells,80281.0,F81P1_80281,30769.6070175439,48265.350877193
