phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
tumor cells,Tumor,413698.0,AGSCC_1_413698,16703.7760869565,17670.352173913
CD4+ T cells,CD4+ T cells,414769.0,AGSCC_1_414769,16938.8169642857,18042.1607142857
tumor cells,Tumor,414839.0,AGSCC_1_414839,16102.42997543,18232.5847665848
Ki67+ tumor cells,Ki67+ tumor,415227.0,AGSCC_1_415227,16921.4046242775,17811.2384393064
memory CD8+ T cells,Effector CD8+ T cells,415504.0,AGSCC_1_415504,16169.6821515892,17721.4009779951
Ki67+ tumor cells,Ki67+ tumor,416613.0,AGSCC_1_416613,16558.9616252822,17764.5372460497
tumor cells,Tumor,416742.0,AGSCC_1_416742,17043.708,17769.6
Ki67+ tumor cells,Ki67+ tumor,416883.0,AGSCC_1_416883,16475.7799642218,17888.9445438283
Ki67+ tumor cells,Ki67+ tumor,417246.0,AGSCC_1_417246,16289.3946784922,18563.0399113082
M1/M0 macrophages,M1/M0 macrophages,417564.0,AGSCC_1_417564,17335.538330494,17808.0783645656
tumor cells,Tumor,418267.0,AGSCC_1_418267,16829.8966408269,18840.5891472868
tumor cells,Tumor,418441.0,AGSCC_1_418441,16230.0037174721,18667.2342007435
Ki67+ tumor cells,Ki67+ tumor,418720.0,AGSCC_1_418720,15665.6794554455,18523.0086633663
tumor cells,Tumor,419027.0,AGSCC_1_419027,17325.7043478261,18134.9855072464
Ki67+ tumor cells,Ki67+ tumor,419948.0,AGSCC_1_419948,15383.6585365854,18663.4111498258
tumor cells,Tumor,420491.0,AGSCC_1_420491,16690.1887755102,17395.0765306122
memory CD8+ T cells,Effector CD8+ T cells,420529.0,AGSCC_1_420529,16125.4230769231,17745.0269230769
tumor cells,Tumor,420556.0,AGSCC_1_420556,16017.6441281139,18096.4323843416
tumor cells,Tumor,421168.0,AGSCC_1_421168,17249.4398092968,17670.2896305125
tumor cells,Tumor,421713.0,AGSCC_1_421713,16860.0495049505,17617.0198019802
Ki67+ tumor cells,Ki67+ tumor,422269.0,AGSCC_1_422269,15744.5045045045,18797.4121621622
Ki67+ tumor cells,Ki67+ tumor,424001.0,AGSCC_1_424001,16968.1419878296,18887.5192697769
Ki67+ tumor cells,Ki67+ tumor,424900.0,AGSCC_1_424900,16550.6299559471,17948.9471365639
Ki67+ tumor cells,Ki67+ tumor,425113.0,AGSCC_1_425113,16160.114713217,18220.9226932668
Ki67+ tumor cells,Ki67+ tumor,425495.0,AGSCC_1_425495,16829.1686217009,17173.2052785924
Ki67+ tumor cells,Ki67+ tumor,425578.0,AGSCC_1_425578,16802.5905947441,18023.3042876902
Ki67+ tumor cells,Ki67+ tumor,425669.0,AGSCC_1_425669,16291.6518518519,17754.9851851852
Ki67+ tumor cells,Ki67+ tumor,426030.0,AGSCC_1_426030,16454.6556886228,17381.2934131737
Ki67+ tumor cells,Ki67+ tumor,426383.0,AGSCC_1_426383,16333.0205198358,17332.2298221614
