phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
CD4+ T cells,CD4+ T cells,66.0,F33P1_66,70250.573875803,18393.721627409
stromal cells,Stromal,102.0,F33P1_102,69421.6885026738,17450.7125668449
regulatory T cells,Regulatory T cells,559.0,F33P1_559,65841.3094289509,19096.0557768924
CD4+ T cells,CD4+ T cells,790.0,F33P1_790,70224.1190926276,19028.0075614367
stromal cells,Stromal,1238.0,F33P1_1238,68601.8953974895,18919.9581589958
stromal cells,Stromal,1347.0,F33P1_1347,69307.9341317365,17620.3508982036
memory CD4+ T cells,Regulatory T cells,3097.0,F33P1_3097,70350.6199649737,19303.4781085814
stromal cells,Stromal,3868.0,F33P1_3868,70047.6054054054,18698.2810810811
stromal cells,Stromal,4673.0,F33P1_4673,69715.3377609108,18108.3055028463
CD4+ T cells,CD4+ T cells,6197.0,F33P1_6197,70648.2352941177,17822.1764705882
stromal cells,Stromal,6593.0,F33P1_6593,69399.5955631399,19365.3464163823
CD4+ T cells,CD4+ T cells,6655.0,F33P1_6655,70812.448441247,17752.2529976019
regulatory T cells,Regulatory T cells,6710.0,F33P1_6710,69784.0982532751,19158.8471615721
CD4+ T cells,CD4+ T cells,6946.0,F33P1_6946,69272.9810996564,17411.7096219931
stromal cells,Stromal,7005.0,F33P1_7005,68972.4244306418,19014.5962732919
stromal cells,Stromal,7808.0,F33P1_7808,69381.6169491525,18192.7508474576
stromal cells,Stromal,8796.0,F33P1_8796,68033.5375494071,18725.7529644269
memory CD4+ T cells,Regulatory T cells,9096.0,F33P1_9096,70253.4530831099,17607.8579088472
stromal cells,Stromal,9527.0,F33P1_9527,69359.4174067496,18162.539964476
CD4+ T cells,CD4+ T cells,9731.0,F33P1_9731,70294.7647058824,17952.0294117647
CD4+ T cells,CD4+ T cells,9822.0,F33P1_9822,67815.9894736842,19305.2015037594
memory CD4+ T cells,Regulatory T cells,9934.0,F33P1_9934,70404.3103448276,19264.2988505747
stromal cells,Stromal,9956.0,F33P1_9956,70391.3974960876,18190.186228482
stromal cells,Stromal,11806.0,F33P1_11806,69887.9539748954,18164.4644351464
stromal cells,Stromal,12199.0,F33P1_12199,68729.3491735537,19177.2417355372
stromal cells,Stromal,12646.0,F33P1_12646,67413.4536679537,19048.9227799228
stromal cells,Stromal,13430.0,F33P1_13430,69802.7597087379,17996.1650485437
stromal cells,Stromal,13454.0,F33P1_13454,67965.5656370656,18941.8494208494
memory CD4+ T cells,Regulatory T cells,13470.0,F33P1_13470,68901.9885931559,19304.9885931559
stromal cells,Stromal,13788.0,F33P1_13788,70940.0214424951,19088.0526315789
stromal cells,Stromal,14315.0,F33P1_14315,68872.3651685393,17497.1610486891
memory CD4+ T cells,Regulatory T cells,14394.0,F33P1_14394,69426.2775119617,17586.5598086124
stromal cells,Stromal,14904.0,F33P1_14904,70067.3015873016,18561.746031746
CD4+ T cells,CD4+ T cells,15121.0,F33P1_15121,68356.9712230216,19489.6916752312
CD4+ T cells,CD4+ T cells,15206.0,F33P1_15206,70365.2733686067,17776.8500881834
CD4+ T cells,CD4+ T cells,17360.0,F33P1_17360,68621.5202702703,18637.9527027027
CD4+ T cells,CD4+ T cells,17784.0,F33P1_17784,71245.8488372093,18469.6453488372
CD4+ T cells,CD4+ T cells,18904.0,F33P1_18904,68648.6133909287,19149.5442764579
endothelial cells,Endothelial,19472.0,F33P1_19472,70095.5049751244,18720.7786069652
endothelial cells,Endothelial,20372.0,F33P1_20372,70101.398,18492.496
stromal cells,Stromal,21013.0,F33P1_21013,68989.0473815461,17859.5411471322
CD4+ T cells,CD4+ T cells,21147.0,F33P1_21147,66941.1467741936,19385.7693548387
memory CD4+ T cells,Regulatory T cells,21209.0,F33P1_21209,67733.7211009174,19169.9119266055
CD4+ T cells,CD4+ T cells,21422.0,F33P1_21422,68557.3627906977,19386.8465116279
M2 macrophages,M2 macrophages,21752.0,F33P1_21752,67545.0723404255,19206.2382978723
stromal cells,Stromal,21819.0,F33P1_21819,66994.1538461538,19364.4166666667
CD4+ T cells,CD4+ T cells,22414.0,F33P1_22414,71071.6031746032,17992.4126984127
CD4+ T cells,CD4+ T cells,23053.0,F33P1_23053,71148.5641025641,17719.4717948718
endothelial cells,Endothelial,25254.0,F33P1_25254,69124.2774566474,19194.5260115607
endothelial cells,Endothelial,25340.0,F33P1_25340,70378.8851674641,18145.495215311
regulatory T cells,Regulatory T cells,25586.0,F33P1_25586,71269.7436548223,18746.1802030457
stromal cells,Stromal,25593.0,F33P1_25593,68382.8764940239,18942.8366533865
CD4+ T cells,CD4+ T cells,26097.0,F33P1_26097,69556.3034623218,19308.3136456212
stromal cells,Stromal,26477.0,F33P1_26477,71319.8617021277,18270.329787234
CD4+ T cells,CD4+ T cells,26696.0,F33P1_26696,69838.0254957507,18538.0566572238
memory CD4+ T cells,Regulatory T cells,27813.0,F33P1_27813,68933.8357348703,19281.4178674352
NK,NK,28268.0,F33P1_28268,68605.9713114754,19401.4918032787
stromal cells,Stromal,28330.0,F33P1_28330,70258.8014059754,18881.5202108963
stromal cells,Stromal,28471.0,F33P1_28471,70510.5454545455,17579.5862068966
CD4+ T cells,CD4+ T cells,30329.0,F33P1_30329,70263.8087318087,18649.6694386694
stromal cells,Stromal,30427.0,F33P1_30427,68707.5584415585,18966.1082251082
CD4+ T cells,CD4+ T cells,30627.0,F33P1_30627,68001.4184782609,19312.9782608696
stromal cells,Stromal,31458.0,F33P1_31458,70927.4241960184,17821.7166921899
CD4+ T cells,CD4+ T cells,31730.0,F33P1_31730,70712.5394402036,19166.8040712468
stromal cells,Stromal,31735.0,F33P1_31735,68331.2618453865,18686.2219451372
CD4+ T cells,CD4+ T cells,31981.0,F33P1_31981,70431.4568965517,18389.2816091954
CD4+ T cells,CD4+ T cells,31990.0,F33P1_31990,71315.7039473684,17862.5789473684
stromal cells,Stromal,32195.0,F33P1_32195,70618.015060241,18491.8147590361
stromal cells,Stromal,34030.0,F33P1_34030,69380.5745454545,18624.6472727273
stromal cells,Stromal,34273.0,F33P1_34273,70963.0606060606,18280.2171717172
CD4+ T cells,CD4+ T cells,34326.0,F33P1_34326,69210.9472422062,19291.0431654676
stromal cells,Stromal,34971.0,F33P1_34971,68609.1410934744,19181.2222222222
CD4+ T cells,CD4+ T cells,35409.0,F33P1_35409,70978.0394736842,18633.3519736842
stromal cells,Stromal,35611.0,F33P1_35611,70114.0324189526,18383.1471321696
stromal cells,Stromal,36033.0,F33P1_36033,70138.2070707071,19424.1565656566
memory CD4+ T cells,Regulatory T cells,37145.0,F33P1_37145,69936.8617511521,18991.7603686636
