,carcinoma_FA_HN14_2_diag.csv,dysplasia_FA_HN11A_1_diag.csv,stroma_ad_carcinoma_FA_HN14_3_diag.csv,stroma_ad_dysplasia_FA_HN11A_5_diag.csv
carcinoma_FA_HN14_2_diag.csv,0.0,4712.978647401971,5939.2156366416875,7942.137417718217
dysplasia_FA_HN11A_1_diag.csv,4712.978647401976,0.0,1266.0045471689482,3323.409505914909
stroma_ad_carcinoma_FA_HN14_3_diag.csv,5939.215636641693,1266.0045471689466,0.0,2227.5746598971596
stroma_ad_dysplasia_FA_HN11A_5_diag.csv,7942.137417718223,3323.4095059149145,2227.5746598971646,0.0
