phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
other APCs,Other APCs,85149.0,AGSCC_1_85149,13974.3916666667,15157.04375
Ki67+ tumor cells,Ki67+ tumor,85568.0,AGSCC_1_85568,13143.6364583333,15703.459375
Ki67+ tumor cells,Ki67+ tumor,86948.0,AGSCC_1_86948,14058.0163690476,13714.1428571429
Ki67+ tumor cells,Ki67+ tumor,87283.0,AGSCC_1_87283,13581.4321148825,14146.7323759791
Ki67+ tumor cells,Ki67+ tumor,87488.0,AGSCC_1_87488,14267.4530075188,14953.3796992481
Ki67+ tumor cells,Ki67+ tumor,87703.0,AGSCC_1_87703,13782.2705099778,15152.6696230599
Ki67+ tumor cells,Ki67+ tumor,88247.0,AGSCC_1_88247,13736.070754717,15080.0235849057
tumor cells,Tumor,88289.0,AGSCC_1_88289,14270.0554455446,14057.0415841584
Ki67+ tumor cells,Ki67+ tumor,89844.0,AGSCC_1_89844,14254.0921052632,14538.2543859649
Ki67+ tumor cells,Ki67+ tumor,89980.0,AGSCC_1_89980,14186.6025641026,14767.3931623932
Ki67+ tumor cells,Ki67+ tumor,90020.0,AGSCC_1_90020,13616.8473282443,15752.5305343511
Ki67+ tumor cells,Ki67+ tumor,90692.0,AGSCC_1_90692,14052.5846153846,14926.9076923077
Ki67+ tumor cells,Ki67+ tumor,91338.0,AGSCC_1_91338,13239.4420168067,14619.7495798319
Ki67+ tumor cells,Ki67+ tumor,91692.0,AGSCC_1_91692,13621.6900369004,15017.9594095941
tumor cells,Tumor,91767.0,AGSCC_1_91767,13726.9794007491,15615.5580524345
M1/M0 macrophages,M1/M0 macrophages,91898.0,AGSCC_1_91898,13162.3984962406,15141.8596491228
Ki67+ tumor cells,Ki67+ tumor,92377.0,AGSCC_1_92377,14133.7077922078,14870.9307359307
tumor cells,Tumor,92514.0,AGSCC_1_92514,13117.0808080808,15684.8626262626
Ki67+ tumor cells,Ki67+ tumor,92675.0,AGSCC_1_92675,13408.3090452261,15266.1180904523
Ki67+ tumor cells,Ki67+ tumor,93042.0,AGSCC_1_93042,13554.822616408,15170.9889135255
tumor cells,Tumor,93111.0,AGSCC_1_93111,13962.003164557,14947.4493670886
Ki67+ tumor cells,Ki67+ tumor,93332.0,AGSCC_1_93332,13600.1477124183,13758.1764705882
Ki67+ tumor cells,Ki67+ tumor,93829.0,AGSCC_1_93829,14025.1404494382,13943.3314606742
