phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
tumor cells,Tumor,128750.0,F82P1_128750,33285.6632653061,5391.53571428572
tumor cells,Tumor,128902.0,F82P1_128902,33415.8296703297,4310.5989010989
other APCs,Other APCs,128931.0,F82P1_128931,31525.3081570997,5987.66767371601
tumor cells,Tumor,129033.0,F82P1_129033,33349.8309859155,4740.11267605634
Ki67+ tumor cells,Ki67+ tumor,129230.0,F82P1_129230,33369.7883211679,5597.83211678832
Ki67+ tumor cells,Ki67+ tumor,129236.0,F82P1_129236,31974.0854271357,6148.81909547739
NK,NK,129255.0,F82P1_129255,33268.406779661,5619.40677966102
tumor cells,Tumor,129429.0,F82P1_129429,33709.71875,5339.6
tumor cells,Tumor,129471.0,F82P1_129471,34435.5523809524,5537.18095238095
Ki67+ tumor cells,Ki67+ tumor,129529.0,F82P1_129529,33619.4770642202,5892.74311926606
tumor cells,Tumor,129685.0,F82P1_129685,34664.7849462366,6150.75268817204
tumor cells,Tumor,129860.0,F82P1_129860,33973.4740634006,6185.79971181556
tumor cells,Tumor,129876.0,F82P1_129876,34283.5842696629,5740.40449438202
tumor cells,Tumor,130076.0,F82P1_130076,33436.3130434783,5360.24347826087
effector CD8+ T cells,Effector CD8+ T cells,130282.0,F82P1_130282,33360.1984732824,4809.42748091603
tumor cells,Tumor,130355.0,F82P1_130355,32655.8641370869,4370.3476132191
tumor cells,Tumor,130460.0,F82P1_130460,33064.6396396396,5863.73873873874
tumor cells,Tumor,130557.0,F82P1_130557,32738.361003861,5570.39478764479
Ki67+ tumor cells,Ki67+ tumor,130819.0,F82P1_130819,34629.5555555556,6180.58333333333
tumor cells,Tumor,131018.0,F82P1_131018,33839.7767857143,6450.13392857143
tumor cells,Tumor,131068.0,F82P1_131068,33057.752,5515.236
tumor cells,Tumor,131073.0,F82P1_131073,31559.8759689922,4717.89147286822
tumor cells,Tumor,131144.0,F82P1_131144,33372.6927083333,5260.0
tumor cells,Tumor,131201.0,F82P1_131201,33067.0280777538,5301.51835853132
tumor cells,Tumor,131260.0,F82P1_131260,33195.2451612903,4154.70322580645
tumor cells,Tumor,131370.0,F82P1_131370,33373.0666666667,6219.32222222222
tumor cells,Tumor,131556.0,F82P1_131556,31626.4512195122,5937.28048780488
tumor cells,Tumor,131682.0,F82P1_131682,32533.2012987013,6005.6038961039
tumor cells,Tumor,131689.0,F82P1_131689,33389.1481481481,5348.81481481482
tumor cells,Tumor,131796.0,F82P1_131796,32761.0703703704,5587.71111111111
tumor cells,Tumor,131930.0,F82P1_131930,33128.5752212389,4610.9203539823
Ki67+ tumor cells,Ki67+ tumor,131966.0,F82P1_131966,34567.34,6094.58
