,high_grade_displasia_FAAGSCC_13_HGD_15_diag.csv,high_grade_displasia_FAAGSCC_13_HGD_2_diag.csv,high_grade_displasia_FAAGSCC_13_HGD_7_diag.csv,invasive_carcinoma_AGSCC_1_IC_18_diag.csv,invasive_carcinoma_AGSCC_1_IC_24_diag.csv,invasive_carcinoma_AGSCC_1_IC_28_diag.csv,light_grade_displasia_F82P1_LGD_5_diag.csv,light_grade_displasia_F82P1_LGD_6_diag.csv,stroma_ad_high_grade_displasia_FAAGSCC_13_HGD_4_diag.csv,stroma_ad_high_grade_displasia_FAAGSCC_13_HGD_7_diag.csv,stroma_ad_invasive_carcinoma_AGSCC_1_IC_111_diag.csv,stroma_ad_invasive_carcinoma_AGSCC_1_IC_99_diag.csv,stroma_ad_light_grade_displasia_F33P1_LGD_7_diag.csv,stroma_ad_light_grade_displasia_F81P1_LGD_1_diag.csv
high_grade_displasia_FAAGSCC_13_HGD_15_diag.csv,0.0,2332.059932238922,1729.8612800683434,2041.1185055101182,2070.5911622527433,1574.6589352162657,1952.693494132266,1911.3063193593714,2125.8339370892327,1909.5685360277582,1903.6946611697456,896.4361699039486,2550.788166605592,2190.2051447793056
high_grade_displasia_FAAGSCC_13_HGD_2_diag.csv,2332.0599322389216,0.0,3755.0708825073348,997.2206094278831,2425.980122266321,1368.108121145778,2325.8018463871854,2498.715260458732,2699.7324194765083,3056.3387951893446,2119.921325292498,2740.1275601946486,3483.5731601926955,3048.7932290572658
high_grade_displasia_FAAGSCC_13_HGD_7_diag.csv,1729.861280068344,3755.0708825073316,0.0,3439.318019629432,3123.3598994113863,2999.1775387470666,2786.6199998787815,2679.7283677505857,2904.7612184059963,2372.309500902302,2965.1632197254985,1384.1665402139336,2997.4624769125107,2736.068474957338
invasive_carcinoma_AGSCC_1_IC_18_diag.csv,2041.1185055101196,997.2206094278827,3439.3180196294375,0.0,1773.6906254120654,903.7779221855459,2522.7872308766027,2676.5069236470863,2888.0309847904823,3134.7700925495506,2353.6246245954912,2486.834667818093,3614.989317993753,3183.6458089092616
invasive_carcinoma_AGSCC_1_IC_24_diag.csv,2070.5911622527433,2425.9801222663223,3123.359899411387,1773.6906254120663,0.0,1478.972234860652,3348.179569664693,3422.9370548008565,3514.597168898048,3645.876508883415,3138.917786269268,2454.5999981363598,4150.5816070249775,3760.2818633049037
invasive_carcinoma_AGSCC_1_IC_28_diag.csv,1574.6589352162653,1368.1081211457774,2999.177538747071,903.7779221855468,1478.9722348606517,0.0,2270.659529727895,2384.17651834864,2571.6428839085283,2739.802673435324,2153.053763082356,2043.6383598548384,3250.5045745244297,2829.376655334973
light_grade_displasia_F82P1_LGD_5_diag.csv,1952.6934941322677,2325.801846387187,2786.6199998787806,2522.7872308766027,3348.179569664703,2270.659529727896,0.0,709.7225803476401,907.7626872148762,1073.1714405329117,783.9585397333431,1863.5125965502093,1463.2334558235766,1051.7651691746828
light_grade_displasia_F82P1_LGD_6_diag.csv,1911.306319359372,2498.71526045873,2679.7283677505843,2676.5069236470868,3422.937054800858,2384.1765183486405,709.7225803476404,0.0,1102.3800010724117,926.6522962530207,944.577809103673,1771.7894396394397,1408.9851106756132,1072.063764796813
stroma_ad_high_grade_displasia_FAAGSCC_13_HGD_4_diag.csv,2125.8339370892318,2699.732419476509,2904.761218405996,2888.0309847904864,3514.5971688980517,2571.64288390853,907.7626872148757,1102.3800010724117,0.0,1197.7022004887865,966.9312220073055,2008.0372230856262,1120.4410910089227,815.1596608512859
stroma_ad_high_grade_displasia_FAAGSCC_13_HGD_7_diag.csv,1909.5685360277575,3056.338795189346,2372.3095009022995,3134.7700925495496,3645.876508883419,2739.8026734353266,1073.1714405329114,926.6522962530205,1197.7022004887876,0.0,1308.9556996238719,1663.987143503048,1168.5747171715598,916.159382634429
stroma_ad_invasive_carcinoma_AGSCC_1_IC_111_diag.csv,1903.694661169747,2119.921325292497,2965.1632197255017,2353.6246245954885,3138.9177862692627,2153.053763082354,783.9585397333432,944.5778091036733,966.9312220073049,1308.9556996238737,0.0,1981.7253856378773,1651.6121219363934,1246.7213216973116
stroma_ad_invasive_carcinoma_AGSCC_1_IC_99_diag.csv,896.4361699039484,2740.127560194648,1384.1665402139315,2486.834667818092,2454.599998136361,2043.6383598548402,1863.5125965502073,1771.789439639441,2008.037223085626,1663.987143503049,1981.7253856378775,0.0,2252.496673169554,1951.3622648029393
stroma_ad_light_grade_displasia_F33P1_LGD_7_diag.csv,2550.788166605594,3483.5731601926905,2997.4624769125076,3614.9893179937485,4150.581607024977,3250.5045745244274,1463.2334558235766,1408.985110675614,1120.441091008923,1168.5747171715582,1651.6121219363931,2252.4966731695517,0.0,754.4503649545002
stroma_ad_light_grade_displasia_F81P1_LGD_1_diag.csv,2190.2051447793033,3048.793229057263,2736.0684749573365,3183.64580890926,3760.2818633049037,2829.3766553349715,1051.7651691746828,1072.0637647968128,815.1596608512857,916.1593826344282,1246.7213216973112,1951.3622648029395,754.4503649545001,0.0
